targetid,wavelength,snr,ra,dec,flagged,verdict,reason
39627997694657850,9502.40000000045,46.24146423797498,132.78813784800855,8.7188568315316,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.24)
39633461132135916,7288.000000000347,34.63553492002243,268.6509660698273,66.73160005229552,False,COSMIC_RAY,Sharp spike (wing ratio: -0.19)
39633501548446101,8171.200000000148,28.01019503988298,148.7936646322591,71.45894844156668,False,COSMIC_RAY,Sharp spike (wing ratio: -0.20)
39627781755110570,8506.400000000223,27.532854639214,182.8070911658081,-0.3286547222091206,False,COSMIC_RAY,Sharp spike (wing ratio: -0.06)
39633481717780307,8565.600000000239,26.601428733600063,272.05693865358586,69.00318032373367,False,COSMIC_RAY,Sharp spike (wing ratio: -0.13)
39633497471582891,7813.600000000067,26.11211245483669,119.11582606290608,70.95118135101231,False,COSMIC_RAY,Sharp spike (wing ratio: -0.26)
39633123218033823,8648.000000000256,24.665333142542384,242.8793783597004,42.50986283145375,False,COSMIC_RAY,Sharp spike (wing ratio: 0.02)
39633497471584886,6848.000000000247,23.55895201723588,119.57332822145852,70.94522122015901,False,AMBIGUOUS,Intermediate profile (wing ratio: 0.15)
39633500093024015,8836.000000000298,23.495630199926573,239.1018664014468,71.13098984409922,False,COSMIC_RAY,Sharp spike (wing ratio: -0.07)
39633497471584886,6143.200000000087,22.20814087364945,119.57332822145852,70.94522122015901,False,AMBIGUOUS,Intermediate profile (wing ratio: 0.17)
39633495475096620,8664.00000000026,22.169692072011003,119.54288516078178,70.84030586058003,False,COSMIC_RAY,Sharp spike (wing ratio: -0.04)
39627746011251324,8078.400000000127,21.85792445401132,212.2807842332648,-1.8100849061487363,False,COSMIC_RAY,Sharp spike (wing ratio: -0.44)
39633500093024474,8766.400000000283,20.1262966237405,239.20584956288064,71.16060069890787,False,COSMIC_RAY,Sharp spike (wing ratio: -0.13)
234514848677889,7195.2,74.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.63)
234514848677889,5489.6,68.7,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.49)
39628517314400472,5649.6,54.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.66)
39627805096414741,5299.2,51.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.61)
39627706727401785,5264.0,49.0,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.57)
39627805096414741,6945.6,46.6,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.59)
39627758103432254,5472.8,44.6,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.54)
39627811907964923,7215.2,44.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.60)
39628521584200098,7003.2,42.8,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.62)
39627800373628335,6678.4,42.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.52)
39627823480046780,7175.2,42.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.59)
39633453825658473,7151.2,41.0,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.62)
39627751509987674,6696.0,38.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.63)
234514848677889,4088.0,38.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.46)
39633109787869577,6751.2,37.8,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.55)
39627764273254925,7106.4,37.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.54)
39627788319198751,6913.6,37.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.44)
39627800373628335,5095.2,36.8,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.34)
39627830648111502,6754.4,36.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.69)
39633421911195991,5560.8,35.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.67)
39632955240351970,6852.8,35.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.55)
39633453825658473,5455.2,34.6,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.49)
39633136421700963,5180.8,34.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.63)
39628022197781419,7076.8,34.1,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.54)
39633321893822639,7167.2,33.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.70)
39627782354900447,6604.0,32.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.41)
39633552869952831,7801.6,32.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.47)
39633304265164680,7102.4,32.1,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.64)
1070229195063307,6730.4,32.0,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.65)
234514848677889,5330.4,31.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.65)
39633297017405855,6262.4,30.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.52)
39627788319198751,5274.4,30.1,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.38)
39633123218032778,5880.8,29.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.55)
39627736876062734,7104.8,28.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.66)
39628037297276253,7499.2,28.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.59)
39628520011336075,6796.8,28.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.56)
39628373646905700,5387.2,28.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.47)
39628384606619708,8279.2,27.3,,,False,COSMIC_RAY,Sharp spike (wing ratio: -0.06)
39633561250171425,5329.6,27.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.64)
39627800394600435,8921.6,26.9,,,False,COSMIC_RAY,Sharp spike (wing ratio: 0.07)
39633553876585078,9097.6,26.8,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.41)
39627866886902850,6605.6,26.6,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.57)
39627758153765798,9316.0,26.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.33)
39628373646905700,7061.6,26.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.64)
39627811907964923,5504.8,25.7,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.63)
39627811408841534,5492.0,25.6,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.51)
39633561250171425,4088.0,25.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.40)
39633548247827736,7683.2,25.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.42)
39633548252020872,5955.2,25.0,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.54)
39633136421700963,5284.8,24.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.64)
39633405586967656,7069.6,24.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.52)
39628517314400472,5595.2,24.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.50)
39633502034988233,8669.6,23.7,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.51)
39633136421700963,3974.4,23.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.42)
39633547065034778,7201.6,23.5,,,False,AMBIGUOUS,Intermediate profile (wing ratio: 0.17)
39628390034047694,5008.0,23.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.42)
39627758103432254,4076.0,23.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.41)
39627782321345666,8467.2,23.4,,,False,AMBIGUOUS,Intermediate profile (wing ratio: 0.14)
39627938835990130,5127.2,23.3,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.55)
39627764122258962,6735.2,23.1,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.45)
39627782354896370,6046.4,23.0,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.61)
39628521580005440,5471.2,22.9,,,False,AMBIGUOUS,Intermediate profile (wing ratio: 0.18)
39628517314400472,5484.8,22.7,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.60)
39633481000552132,6336.8,22.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.21)
39628287525259908,6874.4,22.2,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.66)
39627764273254925,5421.6,22.1,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.43)
39627811387867314,7916.8,21.9,,,False,COSMIC_RAY,Sharp spike (wing ratio: 0.00)
39632955240351970,5228.0,21.8,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.45)
39633553876585078,7666.4,21.7,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.43)
39633561250171425,5436.0,21.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.62)
39627706727401785,5213.6,20.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.58)
39628443926662332,6735.2,20.9,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.70)
39632946302289775,7020.8,20.5,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.59)
39632931014052985,7444.0,20.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.64)
39633153945502066,6789.6,20.4,,,False,REAL_SIGNAL,Gaussian wings (wing ratio: 0.63)
39633342391388448,9441.6,20.3,,,False,AMBIGUOUS,Intermediate profile (wing ratio: 0.16)
